price (in millions),area (in thousands sqft),bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,rooms,area (per room)
13.3,7.42,4,2,3,yes,no,0,no,yes,2,yes,furnished,6,1236.6666666666665
12.25,8.96,4,4,4,yes,no,0,no,yes,3,no,furnished,8,1120.0
12.25,9.96,3,2,2,yes,no,1,no,no,2,yes,semi-furnished,6,1660.0000000000002
12.215,7.5,4,2,2,yes,no,1,no,yes,3,yes,furnished,7,1071.4285714285713
11.41,7.42,4,1,2,yes,yes,1,no,yes,2,no,furnished,6,1236.6666666666665
10.85,7.5,3,3,1,yes,no,1,no,yes,2,yes,semi-furnished,7,1071.4285714285713
10.15,8.58,4,3,4,yes,no,0,no,yes,2,yes,semi-furnished,7,1225.7142857142858
10.15,16.2,5,3,2,yes,no,0,no,no,0,no,unfurnished,8,2025.0
9.87,8.1,4,1,2,yes,yes,1,no,yes,2,yes,furnished,6,1349.9999999999998
9.8,5.75,3,2,4,yes,yes,0,no,yes,1,yes,unfurnished,5,1150.0
9.8,13.2,3,1,2,yes,no,1,no,yes,2,yes,furnished,5,2639.9999999999995
9.681,6.0,4,3,2,yes,yes,1,yes,no,2,no,semi-furnished,8,750.0
9.31,6.55,4,2,2,yes,no,0,no,yes,1,yes,semi-furnished,6,1091.6666666666665
9.24,3.5,4,2,2,yes,no,0,yes,no,2,no,furnished,6,583.3333333333334
9.24,7.8,3,2,2,yes,no,0,no,no,0,yes,semi-furnished,5,1560.0
9.1,6.0,4,1,2,yes,no,1,no,no,2,no,semi-furnished,6,1000.0
9.1,6.6,4,2,2,yes,yes,1,no,yes,1,yes,unfurnished,7,942.8571428571429
8.96,8.5,3,2,4,yes,no,0,no,yes,2,no,furnished,5,1700.0
8.89,4.6,3,2,2,yes,yes,0,no,yes,2,no,furnished,5,919.9999999999999
8.855,6.42,3,2,2,yes,no,0,no,yes,1,yes,semi-furnished,5,1284.0
8.75,4.32,3,1,2,yes,no,1,yes,no,2,no,semi-furnished,5,864.0000000000001
8.68,7.155,3,2,1,yes,yes,1,no,yes,2,no,unfurnished,6,1192.5000000000002
8.645,8.05,3,1,1,yes,yes,1,no,yes,1,no,furnished,5,1610.0
8.645,4.56,3,2,2,yes,yes,1,no,yes,1,no,furnished,6,759.9999999999999
8.575,8.8,3,2,2,yes,no,0,no,yes,2,no,furnished,5,1760.0000000000002
8.54,6.54,4,2,2,yes,yes,1,no,yes,2,yes,furnished,7,934.2857142857142
8.463,6.0,3,2,4,yes,yes,1,no,yes,0,yes,semi-furnished,6,1000.0
8.4,8.875,3,1,1,yes,no,0,no,no,1,no,semi-furnished,4,2218.75
8.4,7.95,5,2,2,yes,no,1,yes,no,2,no,unfurnished,8,993.75
8.4,5.5,4,2,2,yes,no,1,no,yes,1,yes,semi-furnished,7,785.7142857142857
8.4,7.475,3,2,4,yes,no,0,no,yes,2,no,unfurnished,5,1494.9999999999998
8.4,7.0,3,1,4,yes,no,0,no,yes,2,no,semi-furnished,4,1750.0
8.295,4.88,4,2,2,yes,no,0,no,yes,1,yes,furnished,6,813.3333333333334
8.19,5.96,3,3,2,yes,yes,1,no,no,1,no,unfurnished,7,851.4285714285714
8.12,6.84,5,1,2,yes,yes,1,no,yes,1,no,furnished,7,977.1428571428571
8.08094,7.0,3,2,4,yes,no,0,no,yes,2,no,furnished,5,1400.0
8.043,7.482,3,2,3,yes,no,0,yes,no,1,yes,furnished,5,1496.3999999999999
7.98,9.0,4,2,4,yes,no,0,no,yes,2,no,furnished,6,1500.0
7.9625,6.0,3,1,4,yes,yes,0,no,yes,2,no,unfurnished,4,1500.0
7.91,6.0,4,2,4,yes,no,0,no,yes,1,no,semi-furnished,6,1000.0
7.875,6.55,3,1,2,yes,no,1,no,yes,0,yes,furnished,5,1310.0
7.84,6.36,3,2,4,yes,no,0,no,yes,0,yes,furnished,5,1272.0
7.7,6.48,3,2,4,yes,no,0,no,yes,2,no,unfurnished,5,1296.0
7.7,6.0,4,2,4,yes,no,0,no,no,2,no,semi-furnished,6,1000.0
7.56,6.0,4,2,4,yes,no,0,no,yes,1,no,furnished,6,1000.0
7.56,6.0,3,2,3,yes,no,0,no,yes,0,no,semi-furnished,5,1200.0
7.525,6.0,3,2,4,yes,no,0,no,yes,1,no,furnished,5,1200.0
7.49,6.6,3,1,4,yes,no,0,no,yes,3,yes,furnished,4,1650.0
7.455,4.3,3,2,2,yes,no,1,no,no,1,no,unfurnished,6,716.6666666666666
7.42,7.44,3,2,1,yes,yes,1,no,yes,0,yes,semi-furnished,6,1240.0
7.42,7.44,3,2,4,yes,no,0,no,no,1,yes,unfurnished,5,1488.0
7.42,6.325,3,1,4,yes,no,0,no,yes,1,no,unfurnished,4,1581.25
7.35,6.0,4,2,4,yes,yes,0,no,yes,1,no,furnished,6,1000.0
7.35,5.15,3,2,4,yes,no,0,no,yes,2,no,semi-furnished,5,1030.0
7.35,6.0,3,2,2,yes,yes,0,no,yes,1,no,semi-furnished,5,1200.0
7.35,6.0,3,1,2,yes,no,0,no,yes,1,no,unfurnished,4,1500.0
7.343,11.44,4,1,2,yes,no,1,no,no,1,yes,semi-furnished,6,1906.6666666666665
7.245,9.0,4,2,4,yes,yes,0,no,yes,1,yes,furnished,6,1500.0
7.21,7.68,4,2,4,yes,yes,0,no,yes,1,no,semi-furnished,6,1280.0
7.21,6.0,3,2,4,yes,yes,0,no,yes,1,no,furnished,5,1200.0
7.14,6.0,3,2,2,yes,yes,0,no,no,1,no,semi-furnished,5,1200.0
7.07,8.88,2,1,1,yes,no,0,no,yes,1,no,semi-furnished,3,2960.0000000000005
7.07,6.24,4,2,2,yes,no,0,no,yes,1,no,furnished,6,1040.0
7.035,6.36,4,2,3,yes,no,0,no,yes,2,yes,furnished,6,1060.0
7.0,11.175,3,1,1,yes,no,1,no,yes,1,yes,furnished,5,2235.0000000000005
6.93,8.88,3,2,2,yes,no,1,no,yes,1,no,furnished,6,1480.0000000000002
6.93,13.2,2,1,1,yes,no,1,yes,no,1,no,furnished,4,3300.0
6.895,7.7,3,2,1,yes,no,0,no,no,2,no,unfurnished,5,1540.0
6.86,6.0,3,1,1,yes,no,0,no,yes,1,no,furnished,4,1500.0
6.79,12.09,4,2,2,yes,no,0,no,no,2,yes,furnished,6,2015.0000000000002
6.79,4.0,3,2,2,yes,no,1,no,yes,0,yes,semi-furnished,6,666.6666666666666
6.755,6.0,4,2,4,yes,no,0,no,yes,0,no,unfurnished,6,1000.0
6.72,5.02,3,1,4,yes,no,0,no,yes,0,yes,unfurnished,4,1255.0
6.685,6.6,2,2,4,yes,no,1,no,no,0,yes,furnished,5,1319.9999999999998
6.65,4.04,3,1,2,yes,no,1,yes,no,1,no,furnished,5,808.0
6.65,4.26,4,2,2,yes,no,0,yes,no,0,no,semi-furnished,6,710.0
6.65,6.42,3,2,3,yes,no,0,no,yes,0,yes,furnished,5,1284.0
6.65,6.5,3,2,3,yes,no,0,no,yes,0,yes,furnished,5,1300.0
6.65,5.7,3,1,1,yes,yes,1,no,yes,2,yes,furnished,5,1140.0000000000002
6.65,6.0,3,2,3,yes,yes,0,no,yes,0,no,furnished,5,1200.0
6.629,6.0,3,1,2,yes,no,0,yes,no,1,yes,semi-furnished,4,1500.0
6.615,4.0,3,2,2,yes,no,1,no,yes,1,no,semi-furnished,6,666.6666666666666
6.615,10.5,3,2,1,yes,no,1,no,yes,1,yes,furnished,6,1750.0
6.58,6.0,3,2,4,yes,no,0,no,yes,0,no,semi-furnished,5,1200.0
6.51,3.76,3,1,2,yes,no,0,yes,no,2,no,semi-furnished,4,940.0
6.51,8.25,3,2,3,yes,no,0,no,yes,0,no,furnished,5,1650.0
6.51,6.67,3,1,3,yes,no,1,no,no,0,yes,unfurnished,5,1334.0
6.475,3.96,3,1,1,yes,no,1,no,no,2,no,semi-furnished,5,792.0
6.475,7.41,3,1,1,yes,yes,1,no,yes,2,yes,unfurnished,5,1482.0
6.44,8.58,5,3,2,yes,no,0,no,no,2,no,furnished,8,1072.5
6.44,5.0,3,1,2,yes,no,0,no,yes,0,no,semi-furnished,4,1250.0
6.419,6.75,2,1,1,yes,yes,1,no,no,2,yes,furnished,4,1687.5
6.405,4.8,3,2,4,yes,yes,0,no,yes,0,no,furnished,5,960.0
6.3,7.2,3,2,1,yes,no,1,no,yes,3,no,semi-furnished,6,1200.0
6.3,6.0,4,2,4,yes,no,0,no,no,1,no,semi-furnished,6,1000.0
6.3,4.1,3,2,3,yes,no,0,no,yes,2,no,semi-furnished,5,820.0
6.3,9.0,3,1,1,yes,no,1,no,no,1,yes,furnished,5,1800.0
6.3,6.4,3,1,1,yes,yes,1,no,yes,1,yes,semi-furnished,5,1280.0
6.293,6.6,3,2,3,yes,no,0,no,yes,0,yes,unfurnished,5,1319.9999999999998
6.265,6.0,4,1,3,yes,yes,1,no,no,0,yes,unfurnished,6,1000.0
6.23,6.6,3,2,1,yes,no,1,no,yes,0,yes,unfurnished,6,1099.9999999999998
6.23,5.5,3,1,3,yes,no,0,no,no,1,yes,unfurnished,4,1375.0
6.195,5.5,3,2,4,yes,yes,0,no,yes,1,no,semi-furnished,5,1100.0
6.195,6.35,3,2,3,yes,yes,0,no,yes,0,no,furnished,5,1270.0
6.195,5.5,3,2,1,yes,yes,1,no,no,2,yes,furnished,6,916.6666666666666
6.16,4.5,3,1,4,yes,no,0,no,yes,0,no,unfurnished,4,1125.0
6.16,5.45,4,2,1,yes,no,1,no,yes,0,yes,semi-furnished,7,778.5714285714286
6.125,6.42,3,1,3,yes,no,1,no,no,0,yes,unfurnished,5,1284.0
6.1075,3.24,4,1,3,yes,no,0,no,no,1,no,semi-furnished,5,648.0
6.09,6.615,4,2,2,yes,yes,0,yes,no,1,no,semi-furnished,6,1102.5
6.09,6.6,3,1,1,yes,yes,1,no,no,2,yes,semi-furnished,5,1319.9999999999998
6.09,8.372,3,1,3,yes,no,0,no,yes,2,no,unfurnished,4,2093.0
6.083,4.3,6,2,2,yes,no,0,no,no,0,no,furnished,8,537.5
6.083,9.62,3,1,1,yes,no,1,no,no,2,yes,furnished,5,1924.0
6.02,6.8,2,1,1,yes,yes,1,no,no,2,no,furnished,4,1700.0
6.02,8.0,3,1,1,yes,yes,1,no,yes,2,yes,semi-furnished,5,1600.0
6.02,6.9,3,2,1,yes,yes,1,no,no,0,yes,unfurnished,6,1150.0000000000002
5.95,3.7,4,1,2,yes,yes,0,no,yes,0,no,furnished,5,740.0
5.95,6.42,3,1,1,yes,no,1,no,yes,0,yes,furnished,5,1284.0
5.95,7.02,3,1,1,yes,no,1,no,yes,2,yes,semi-furnished,5,1404.0
5.95,6.54,3,1,1,yes,yes,1,no,no,2,yes,furnished,5,1308.0
5.95,7.231,3,1,2,yes,yes,1,no,yes,0,yes,semi-furnished,5,1446.1999999999998
5.95,6.254,4,2,1,yes,no,1,no,no,1,yes,semi-furnished,7,893.4285714285713
5.95,7.32,4,2,2,yes,no,0,no,no,0,no,furnished,6,1220.0
5.95,6.525,3,2,4,yes,no,0,no,no,1,no,furnished,5,1305.0000000000002
5.943,15.6,3,1,1,yes,no,0,no,yes,2,no,semi-furnished,4,3900.0
5.88,7.16,3,1,1,yes,no,1,no,no,2,yes,unfurnished,5,1432.0
5.88,6.5,3,2,3,yes,no,0,no,yes,0,no,unfurnished,5,1300.0
5.873,5.5,3,1,3,yes,yes,0,no,yes,1,no,furnished,4,1375.0
5.873,11.46,3,1,3,yes,no,0,no,no,2,yes,semi-furnished,4,2865.0
5.866,4.8,3,1,1,yes,yes,1,no,no,0,no,unfurnished,5,960.0
5.81,5.828,4,1,4,yes,yes,0,no,no,0,no,semi-furnished,5,1165.6
5.81,5.2,3,1,3,yes,no,0,no,yes,0,no,semi-furnished,4,1300.0
5.81,4.8,3,1,3,yes,no,0,no,yes,0,no,unfurnished,4,1200.0
5.803,7.0,3,1,1,yes,no,1,no,no,2,yes,semi-furnished,5,1400.0
5.775,6.0,3,2,4,yes,no,0,no,yes,0,no,unfurnished,5,1200.0
5.74,5.4,4,2,2,yes,no,0,no,yes,2,no,unfurnished,6,900.0
5.74,4.64,4,1,2,yes,no,0,no,no,1,no,semi-furnished,5,927.9999999999999
5.74,5.0,3,1,3,yes,no,0,no,yes,0,no,semi-furnished,4,1250.0
5.74,6.36,3,1,1,yes,yes,1,no,yes,2,yes,furnished,5,1272.0
5.74,5.8,3,2,4,yes,no,0,no,yes,0,no,unfurnished,5,1160.0
5.6525,6.66,4,2,2,yes,yes,1,no,no,1,yes,semi-furnished,7,951.4285714285714
5.6,10.5,4,2,2,yes,no,0,no,no,1,no,semi-furnished,6,1750.0
5.6,4.8,5,2,3,no,no,1,yes,no,0,no,unfurnished,8,600.0
5.6,4.7,4,1,2,yes,yes,1,no,yes,1,no,furnished,6,783.3333333333334
5.6,5.0,3,1,4,yes,no,0,no,no,0,no,furnished,4,1250.0
5.6,10.5,2,1,1,yes,no,0,no,no,1,no,semi-furnished,3,3500.0
5.6,5.5,3,2,2,yes,no,0,no,no,1,no,semi-furnished,5,1100.0
5.6,6.36,3,1,3,yes,no,0,no,no,0,yes,semi-furnished,4,1590.0
5.6,6.6,4,2,1,yes,no,1,no,no,0,yes,semi-furnished,7,942.8571428571429
5.6,5.136,3,1,2,yes,yes,1,no,yes,0,yes,unfurnished,5,1027.2
5.565,4.4,4,1,2,yes,no,0,no,yes,2,yes,semi-furnished,5,880.0000000000001
5.565,5.4,5,1,2,yes,yes,1,no,yes,0,yes,furnished,7,771.4285714285714
5.53,3.3,3,3,2,yes,no,1,no,no,0,no,semi-furnished,7,471.42857142857144
5.53,3.65,3,2,2,yes,no,0,no,no,2,no,semi-furnished,5,730.0
5.53,6.1,3,2,1,yes,no,1,no,no,2,yes,furnished,6,1016.6666666666666
5.523,6.9,3,1,1,yes,yes,1,no,no,0,yes,semi-furnished,5,1380.0000000000002
5.495,2.817,4,2,2,no,yes,1,no,no,1,no,furnished,7,402.42857142857144
5.495,7.98,3,1,1,yes,no,0,no,no,2,no,semi-furnished,4,1995.0
5.46,3.15,3,2,1,yes,yes,1,no,yes,0,no,furnished,6,525.0
5.46,6.21,4,1,4,yes,yes,0,no,yes,0,no,furnished,5,1242.0
5.46,6.1,3,1,3,yes,yes,0,no,yes,0,yes,semi-furnished,4,1525.0
5.46,6.6,4,2,2,yes,yes,1,no,no,0,yes,semi-furnished,7,942.8571428571429
5.425,6.825,3,1,1,yes,yes,1,no,yes,0,yes,semi-furnished,5,1365.0
5.39,6.71,3,2,2,yes,yes,1,no,no,1,yes,furnished,6,1118.3333333333335
5.383,6.45,3,2,1,yes,yes,1,yes,no,0,no,unfurnished,6,1075.0
5.32,7.8,3,1,1,yes,no,1,no,yes,2,yes,unfurnished,5,1560.0
5.285,4.6,2,2,1,yes,no,0,no,yes,2,no,semi-furnished,4,1150.0
5.25,4.26,4,1,2,yes,no,1,no,yes,0,no,furnished,6,710.0
5.25,6.54,4,2,2,no,no,0,no,yes,0,no,semi-furnished,6,1090.0
5.25,5.5,3,2,1,yes,no,1,no,no,0,no,semi-furnished,6,916.6666666666666
5.25,10.269,3,1,1,yes,no,0,no,no,1,yes,semi-furnished,4,2567.25
5.25,8.4,3,1,2,yes,yes,1,no,yes,2,yes,unfurnished,5,1680.0000000000002
5.25,5.3,4,2,1,yes,no,0,no,yes,0,yes,unfurnished,6,883.3333333333333
5.25,3.8,3,1,2,yes,yes,1,no,no,1,yes,unfurnished,5,760.0
5.25,9.8,4,2,2,yes,yes,0,no,no,2,no,semi-furnished,6,1633.3333333333335
5.25,8.52,3,1,1,yes,no,0,no,yes,2,no,furnished,4,2130.0
5.243,6.05,3,1,1,yes,no,1,no,no,0,yes,semi-furnished,5,1210.0
5.229,7.085,3,1,1,yes,yes,1,no,no,2,yes,semi-furnished,5,1417.0
5.215,3.18,3,2,2,yes,no,0,no,no,2,no,semi-furnished,5,636.0
5.215,4.5,4,2,1,no,no,1,no,yes,2,no,semi-furnished,7,642.8571428571429
5.215,7.2,3,1,2,yes,yes,1,no,no,1,yes,furnished,5,1440.0
5.145,3.41,3,1,2,no,no,0,no,yes,0,no,semi-furnished,4,852.5
5.145,7.98,3,1,1,yes,no,0,no,no,1,yes,semi-furnished,4,1995.0
5.11,3.0,3,2,2,yes,yes,1,no,no,0,no,furnished,6,500.0
5.11,3.0,3,1,2,yes,no,1,no,no,0,no,unfurnished,5,600.0
5.11,11.41,2,1,2,yes,no,0,no,no,0,yes,furnished,3,3803.333333333333
5.11,6.1,3,1,1,yes,no,1,no,yes,0,yes,semi-furnished,5,1220.0
5.075,5.72,2,1,2,yes,no,0,no,yes,0,yes,unfurnished,3,1906.6666666666665
5.04,3.54,2,1,1,no,yes,1,no,no,0,no,semi-furnished,4,885.0
5.04,7.6,4,1,2,yes,no,0,no,yes,2,no,furnished,5,1520.0
5.04,10.7,3,1,2,yes,yes,1,no,no,0,no,semi-furnished,5,2139.9999999999995
5.04,6.6,3,1,1,yes,yes,1,no,no,0,yes,furnished,5,1319.9999999999998
5.033,4.8,2,1,1,yes,yes,1,no,no,0,no,semi-furnished,4,1200.0
5.005,8.15,3,2,1,yes,yes,1,no,no,0,no,semi-furnished,6,1358.3333333333335
4.97,4.41,4,3,2,yes,no,1,no,no,2,no,semi-furnished,8,551.25
4.97,7.686,3,1,1,yes,yes,1,yes,no,0,no,semi-furnished,5,1537.1999999999998
4.956,2.8,3,2,2,no,no,1,no,yes,1,no,semi-furnished,6,466.66666666666663
4.935,5.948,3,1,2,yes,no,0,no,yes,0,no,semi-furnished,4,1487.0
4.907,4.2,3,1,2,yes,no,0,no,no,1,no,furnished,4,1050.0
4.9,4.52,3,1,2,yes,no,1,no,yes,0,no,semi-furnished,5,903.9999999999999
4.9,4.095,3,1,2,no,yes,1,no,yes,0,no,semi-furnished,5,819.0
4.9,4.12,2,1,1,yes,no,1,no,no,1,no,semi-furnished,4,1030.0
4.9,5.4,4,1,2,yes,no,0,no,no,0,no,semi-furnished,5,1080.0
4.9,4.77,3,1,1,yes,yes,1,no,no,0,no,semi-furnished,5,954.0
4.9,6.3,3,1,1,yes,no,0,no,yes,2,no,semi-furnished,4,1575.0
4.9,5.8,2,1,1,yes,yes,1,no,yes,0,no,semi-furnished,4,1450.0
4.9,3.0,3,1,2,yes,no,1,no,yes,0,no,semi-furnished,5,600.0
4.9,2.97,3,1,3,yes,no,0,no,no,0,no,semi-furnished,4,742.5
4.9,6.72,3,1,1,yes,no,0,no,no,0,no,unfurnished,4,1680.0
4.9,4.646,3,1,2,yes,yes,1,no,no,2,no,semi-furnished,5,929.2
4.9,12.9,3,1,1,yes,no,0,no,no,2,no,furnished,4,3225.0
4.893,3.42,4,2,2,yes,no,1,no,yes,2,no,semi-furnished,7,488.57142857142856
4.893,4.995,4,2,1,yes,no,1,no,no,0,no,semi-furnished,7,713.5714285714287
4.865,4.35,2,1,1,yes,no,1,no,no,0,no,unfurnished,4,1087.5
4.83,4.16,3,1,3,yes,no,0,no,no,0,no,unfurnished,4,1040.0
4.83,6.04,3,1,1,yes,no,0,no,no,2,yes,semi-furnished,4,1510.0
4.83,6.862,3,1,2,yes,no,0,no,yes,2,yes,furnished,4,1715.5
4.83,4.815,2,1,1,yes,no,0,no,yes,0,yes,semi-furnished,3,1605.0000000000002
4.795,7.0,3,1,2,yes,no,1,no,no,0,no,unfurnished,5,1400.0
4.795,8.1,4,1,4,yes,no,1,no,yes,2,no,semi-furnished,6,1349.9999999999998
4.767,3.42,4,2,2,yes,no,0,no,no,0,no,semi-furnished,6,570.0
4.76,9.166,2,1,1,yes,no,1,no,yes,2,no,semi-furnished,4,2291.5
4.76,6.321,3,1,2,yes,no,1,no,yes,1,no,furnished,5,1264.2
4.76,10.24,2,1,1,yes,no,0,no,yes,2,yes,unfurnished,3,3413.3333333333335
4.753,6.44,2,1,1,yes,no,0,no,yes,3,no,semi-furnished,3,2146.666666666667
4.69,5.17,3,1,4,yes,no,0,no,yes,0,no,semi-furnished,4,1292.5
4.69,6.0,2,1,1,yes,no,1,no,yes,1,no,furnished,4,1500.0
4.69,3.63,3,1,2,yes,no,0,no,no,2,no,semi-furnished,4,907.5
4.69,9.667,4,2,2,yes,yes,1,no,no,1,no,semi-furnished,7,1381.0
4.69,5.4,2,1,2,yes,no,0,no,no,0,yes,semi-furnished,3,1800.0
4.69,4.32,3,1,1,yes,no,0,no,no,0,yes,semi-furnished,4,1080.0
4.655,3.745,3,1,2,yes,no,1,no,no,0,no,furnished,5,749.0
4.62,4.16,3,1,1,yes,yes,1,no,yes,0,no,unfurnished,5,832.0000000000001
4.62,3.88,3,2,2,yes,no,1,no,no,2,no,semi-furnished,6,646.6666666666666
4.62,5.68,3,1,2,yes,yes,0,no,yes,1,no,semi-furnished,4,1420.0
4.62,2.87,2,1,2,yes,yes,1,no,no,0,yes,semi-furnished,4,717.5
4.62,5.01,3,1,2,yes,no,1,no,no,0,no,semi-furnished,5,1002.0
4.613,4.51,4,2,2,yes,no,1,no,no,0,no,semi-furnished,7,644.2857142857142
4.585,4.0,3,1,2,yes,no,0,no,no,1,no,furnished,4,1000.0
4.585,3.84,3,1,2,yes,no,0,no,no,1,yes,semi-furnished,4,960.0
4.55,3.76,3,1,1,yes,no,0,no,no,2,no,semi-furnished,4,940.0
4.55,3.64,3,1,2,yes,no,0,no,yes,0,no,furnished,4,910.0
4.55,2.55,3,1,2,yes,no,1,no,no,0,no,furnished,5,510.0
4.55,5.32,3,1,2,yes,yes,1,no,no,0,yes,semi-furnished,5,1064.0
4.55,5.36,3,1,2,yes,no,0,no,no,2,yes,unfurnished,4,1340.0
4.55,3.52,3,1,1,yes,no,0,no,no,0,yes,semi-furnished,4,880.0
4.55,8.4,4,1,4,yes,no,0,no,no,3,no,unfurnished,5,1680.0000000000002
4.543,4.1,2,2,1,yes,yes,1,no,no,0,no,semi-furnished,5,820.0
4.543,4.99,4,2,2,yes,yes,1,no,no,0,yes,furnished,7,712.8571428571429
4.515,3.51,3,1,3,yes,no,0,no,no,0,no,semi-furnished,4,877.5
4.515,3.45,3,1,2,yes,no,1,no,no,1,no,semi-furnished,5,690.0000000000001
4.515,9.86,3,1,1,yes,no,0,no,no,0,no,semi-furnished,4,2465.0
4.515,3.52,2,1,2,yes,no,0,no,no,0,yes,furnished,3,1173.3333333333333
4.48,4.51,4,1,2,yes,no,0,no,yes,2,no,semi-furnished,5,901.9999999999999
4.48,5.885,2,1,1,yes,no,0,no,yes,1,no,unfurnished,3,1961.6666666666667
4.48,4.0,3,1,2,yes,no,0,no,no,2,no,furnished,4,1000.0
4.48,8.25,3,1,1,yes,no,0,no,no,0,no,furnished,4,2062.5
4.48,4.04,3,1,2,yes,no,0,no,no,1,no,semi-furnished,4,1010.0
4.473,6.36,2,1,1,yes,no,1,no,yes,1,no,furnished,4,1590.0
4.473,3.162,3,1,2,yes,no,0,no,yes,1,no,furnished,4,790.5
4.473,3.51,3,1,2,yes,no,0,no,no,0,no,semi-furnished,4,877.5
4.445,3.75,2,1,1,yes,yes,1,no,no,0,no,semi-furnished,4,937.5
4.41,3.968,3,1,2,no,no,0,no,no,0,no,semi-furnished,4,992.0
4.41,4.9,2,1,2,yes,no,1,no,no,0,no,semi-furnished,4,1225.0
4.403,2.88,3,1,2,yes,no,0,no,no,0,yes,semi-furnished,4,720.0
4.403,4.88,3,1,1,yes,no,0,no,no,2,yes,unfurnished,4,1220.0
4.403,4.92,3,1,2,yes,no,0,no,no,1,no,semi-furnished,4,1230.0
