price (in millions),area (in thousands sqft),bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,rooms,area (per room)
4.382,4.95,4,1,2,yes,no,0,no,yes,0,no,semi-furnished,5,990.0
4.375,3.9,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,975.0
4.34,4.5,3,2,3,yes,no,0,yes,no,1,no,furnished,5,900.0
4.34,1.905,5,1,2,no,no,1,no,no,0,no,semi-furnished,7,272.1428571428571
4.34,4.075,3,1,1,yes,yes,1,no,no,2,no,semi-furnished,5,815.0000000000001
4.34,3.5,4,1,2,yes,no,0,no,no,2,no,furnished,5,700.0
4.34,6.45,4,1,2,yes,no,0,no,no,0,no,semi-furnished,5,1290.0
4.319,4.032,2,1,1,yes,no,1,no,no,0,no,furnished,4,1008.0
4.305,4.4,2,1,1,yes,no,0,no,no,1,no,semi-furnished,3,1466.6666666666667
4.305,10.36,2,1,1,yes,no,0,no,no,1,yes,semi-furnished,3,3453.333333333333
4.277,3.4,3,1,2,yes,no,1,no,no,2,yes,semi-furnished,5,679.9999999999999
4.27,6.36,2,1,1,yes,no,0,no,no,0,no,furnished,3,2120.0
4.27,6.36,2,1,2,yes,no,0,no,no,0,no,unfurnished,3,2120.0
4.27,4.5,2,1,1,yes,no,0,no,yes,2,no,furnished,3,1500.0
4.27,2.175,3,1,2,no,yes,1,no,yes,0,no,unfurnished,5,434.99999999999994
4.27,4.36,4,1,2,yes,no,0,no,no,0,no,furnished,5,872.0000000000001
4.27,7.77,2,1,1,yes,no,0,no,no,1,no,furnished,3,2590.0
4.235,6.65,3,1,2,yes,yes,0,no,no,0,no,semi-furnished,4,1662.5
4.235,2.787,3,1,1,yes,no,1,no,no,0,yes,furnished,5,557.4
4.2,5.5,3,1,2,yes,no,0,no,yes,0,no,unfurnished,4,1375.0
4.2,5.04,3,1,2,yes,no,1,no,yes,0,no,unfurnished,5,1008.0
4.2,5.85,2,1,1,yes,yes,1,no,no,2,no,semi-furnished,4,1462.5
4.2,2.61,4,3,2,no,no,0,no,no,0,no,semi-furnished,7,372.85714285714283
4.2,2.953,3,1,2,yes,no,1,no,yes,0,no,unfurnished,5,590.6
4.2,2.747,4,2,2,no,no,0,no,no,0,no,semi-furnished,6,457.8333333333333
4.2,4.41,2,1,1,no,no,0,no,no,1,no,unfurnished,3,1470.0
4.2,4.0,4,2,2,no,no,0,no,no,0,no,semi-furnished,6,666.6666666666666
4.2,2.325,3,1,2,no,no,0,no,no,0,no,semi-furnished,4,581.25
4.2,4.6,3,2,2,yes,no,0,no,yes,1,no,semi-furnished,5,919.9999999999999
4.2,3.64,3,2,2,yes,no,1,no,no,0,no,unfurnished,6,606.6666666666667
4.2,5.8,3,1,1,yes,no,0,yes,no,2,no,semi-furnished,4,1450.0
4.2,7.0,3,1,1,yes,no,0,no,no,3,no,furnished,4,1750.0
4.2,4.079,3,1,3,yes,no,0,no,no,0,no,semi-furnished,4,1019.7499999999999
4.2,3.52,3,1,2,yes,no,0,no,no,0,yes,semi-furnished,4,880.0
4.2,2.145,3,1,3,yes,no,0,no,no,1,yes,unfurnished,4,536.25
4.2,4.5,3,1,1,yes,no,1,no,no,0,no,furnished,5,900.0
4.193,8.25,3,1,1,yes,no,1,no,no,3,no,semi-furnished,5,1650.0
4.193,3.45,3,1,2,yes,no,0,no,no,1,no,semi-furnished,4,862.5
4.165,4.84,3,1,2,yes,no,0,no,no,1,no,semi-furnished,4,1210.0
4.165,4.08,3,1,2,yes,no,0,no,no,2,no,semi-furnished,4,1020.0
4.165,4.046,3,1,2,yes,no,1,no,no,1,no,semi-furnished,5,809.2
4.13,4.632,4,1,2,yes,no,0,no,yes,0,no,semi-furnished,5,926.3999999999999
4.13,5.985,3,1,1,yes,no,1,no,no,0,no,semi-furnished,5,1197.0
4.123,6.06,2,1,1,yes,no,1,no,no,1,no,semi-furnished,4,1515.0
4.0985,3.6,3,1,1,yes,no,1,no,yes,0,yes,furnished,5,720.0
4.095,3.68,3,2,2,yes,no,0,no,no,0,no,semi-furnished,5,736.0
4.095,4.04,2,1,2,yes,no,0,no,no,1,no,semi-furnished,3,1346.6666666666667
4.095,5.6,2,1,1,yes,no,0,no,yes,0,no,semi-furnished,3,1866.6666666666665
4.06,5.9,4,2,2,no,no,1,no,no,1,no,unfurnished,7,842.8571428571429
4.06,4.992,3,2,2,yes,no,0,no,no,2,no,unfurnished,5,998.4
4.06,4.34,3,1,1,yes,no,0,no,no,0,no,semi-furnished,4,1085.0
4.06,3.0,4,1,3,yes,no,1,no,yes,2,no,semi-furnished,6,500.0
4.06,4.32,3,1,2,yes,no,0,no,no,2,yes,furnished,4,1080.0
4.025,3.63,3,2,2,yes,no,0,yes,no,2,no,semi-furnished,5,726.0
4.025,3.46,3,2,1,yes,no,1,no,yes,1,no,furnished,6,576.6666666666666
4.025,5.4,3,1,1,yes,no,0,no,no,3,no,semi-furnished,4,1350.0
4.0075,4.5,3,1,2,no,no,1,no,yes,0,no,semi-furnished,5,900.0
4.0075,3.46,4,1,2,yes,no,0,no,yes,0,no,semi-furnished,5,692.0
3.99,4.1,4,1,1,no,no,1,no,no,0,no,unfurnished,6,683.3333333333333
3.99,6.48,3,1,2,no,no,0,no,yes,1,no,semi-furnished,4,1620.0
3.99,4.5,3,2,2,no,no,1,no,yes,0,no,semi-furnished,6,750.0
3.99,3.96,3,1,2,yes,no,0,no,no,0,no,furnished,4,990.0
3.99,4.05,2,1,2,yes,yes,1,no,no,0,yes,unfurnished,4,1012.5
3.92,7.26,3,2,1,yes,yes,1,no,no,3,no,furnished,6,1210.0
3.92,5.5,4,1,2,yes,yes,1,no,no,0,no,semi-furnished,6,916.6666666666666
3.92,3.0,3,1,2,yes,no,0,no,no,0,no,semi-furnished,4,750.0
3.92,3.29,2,1,1,yes,no,0,yes,no,1,no,furnished,3,1096.6666666666667
3.92,3.816,2,1,1,yes,no,1,no,yes,2,no,furnished,4,954.0
3.92,8.08,3,1,1,yes,no,0,no,yes,2,no,semi-furnished,4,2020.0
3.92,2.145,4,2,1,yes,no,1,no,no,0,yes,unfurnished,7,306.42857142857144
3.885,3.78,2,1,2,yes,yes,1,no,no,0,no,semi-furnished,4,945.0
3.885,3.18,4,2,2,yes,no,0,no,no,0,no,furnished,6,530.0
3.85,5.3,5,2,2,yes,no,0,no,no,0,no,semi-furnished,7,757.1428571428571
3.85,3.18,2,2,1,yes,no,1,no,no,2,no,semi-furnished,5,636.0
3.85,7.152,3,1,2,yes,no,0,no,yes,0,no,furnished,4,1788.0
3.85,4.08,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,1360.0
3.85,3.85,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,1283.3333333333335
3.85,2.015,3,1,2,yes,no,1,no,no,0,yes,semi-furnished,5,403.0
3.85,2.176,2,1,2,yes,yes,0,no,no,0,yes,semi-furnished,3,725.3333333333334
3.836,3.35,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,837.5
3.815,3.15,2,2,1,no,no,1,no,no,0,no,semi-furnished,5,630.0
3.78,4.82,3,1,2,yes,no,0,no,no,0,no,semi-furnished,4,1205.0
3.78,3.42,2,1,2,yes,no,0,yes,no,1,no,semi-furnished,3,1140.0
3.78,3.6,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,1200.0
3.78,5.83,2,1,1,yes,no,0,no,no,2,no,unfurnished,3,1943.3333333333333
3.78,2.856,3,1,3,yes,no,0,no,no,0,yes,furnished,4,714.0
3.78,8.4,2,1,1,yes,no,0,no,no,1,no,furnished,3,2800.0000000000005
3.773,8.25,3,1,1,yes,no,0,no,no,2,no,furnished,4,2062.5
3.773,2.52,5,2,1,no,no,1,no,yes,1,no,furnished,8,315.0
3.773,6.93,4,1,2,no,no,0,no,no,1,no,furnished,5,1386.0
3.745,3.48,2,1,1,yes,no,0,no,no,0,yes,semi-furnished,3,1160.0
3.71,3.6,3,1,1,yes,no,0,no,no,1,no,unfurnished,4,900.0
3.71,4.04,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,1346.6666666666667
3.71,6.02,3,1,1,yes,no,0,no,no,0,no,semi-furnished,4,1505.0
3.71,4.05,2,1,1,yes,no,0,no,no,0,no,furnished,3,1349.9999999999998
3.71,3.584,2,1,1,yes,no,0,yes,no,0,no,semi-furnished,3,1194.6666666666667
3.703,3.12,3,1,2,no,no,1,yes,no,0,no,semi-furnished,5,624.0
3.703,5.45,2,1,1,yes,no,0,no,no,0,no,furnished,3,1816.6666666666667
3.675,3.63,2,1,1,yes,no,1,no,no,0,no,furnished,4,907.5
3.675,3.63,2,1,1,yes,no,0,no,yes,0,no,unfurnished,3,1210.0
3.675,5.64,2,1,1,no,no,0,no,no,0,no,semi-furnished,3,1880.0
3.675,3.6,2,1,1,yes,no,0,no,no,0,no,furnished,3,1200.0
3.64,4.28,2,1,1,yes,no,0,no,yes,2,no,semi-furnished,3,1426.6666666666667
3.64,3.57,3,1,2,yes,no,1,no,no,0,no,semi-furnished,5,714.0
3.64,3.18,3,1,2,no,no,1,no,no,0,no,semi-furnished,5,636.0
3.64,3.0,2,1,2,yes,no,0,no,yes,0,no,furnished,3,1000.0
3.64,3.52,2,2,1,yes,no,1,no,no,0,no,semi-furnished,5,704.0
3.64,5.96,3,1,2,yes,yes,1,no,no,0,no,unfurnished,5,1192.0
3.64,4.13,3,2,2,yes,no,0,no,no,2,no,semi-furnished,5,826.0
3.64,2.85,3,2,2,no,no,1,no,no,0,yes,unfurnished,6,475.00000000000006
3.64,2.275,3,1,3,yes,no,0,yes,yes,0,yes,semi-furnished,4,568.75
3.633,3.52,3,1,1,yes,no,0,no,no,2,yes,unfurnished,4,880.0
3.605,4.5,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,1500.0
3.605,4.0,2,1,1,yes,no,0,no,no,0,yes,semi-furnished,3,1333.3333333333333
3.57,3.15,3,1,2,yes,no,1,no,no,0,no,furnished,5,630.0
3.57,4.5,4,2,2,yes,no,1,no,no,2,no,furnished,7,642.8571428571429
3.57,4.5,2,1,1,no,no,0,no,no,0,no,furnished,3,1500.0
3.57,3.64,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1213.3333333333335
3.535,3.85,3,1,1,yes,no,0,no,no,2,no,unfurnished,4,962.5
3.5,4.24,3,1,2,yes,no,0,no,yes,0,no,semi-furnished,4,1060.0
3.5,3.65,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,912.5
3.5,4.6,4,1,2,yes,no,0,no,no,0,no,semi-furnished,5,919.9999999999999
3.5,2.135,3,2,2,no,no,0,no,no,0,no,unfurnished,5,426.99999999999994
3.5,3.036,3,1,2,yes,no,1,no,no,0,no,semi-furnished,5,607.1999999999999
3.5,3.99,3,1,2,yes,no,0,no,no,0,no,semi-furnished,4,997.5
3.5,7.424,3,1,1,no,no,0,no,no,0,no,unfurnished,4,1856.0
3.5,3.48,3,1,1,no,no,0,no,yes,0,no,unfurnished,4,870.0
3.5,3.6,6,1,2,yes,no,0,no,no,1,no,unfurnished,7,514.2857142857143
3.5,3.64,2,1,1,yes,no,0,no,no,1,no,semi-furnished,3,1213.3333333333335
3.5,5.9,2,1,1,yes,no,0,no,no,1,no,furnished,3,1966.6666666666667
3.5,3.12,3,1,2,yes,no,0,no,no,1,no,unfurnished,4,780.0
3.5,7.35,2,1,1,yes,no,0,no,no,1,no,semi-furnished,3,2449.9999999999995
3.5,3.512,2,1,1,yes,no,0,no,no,1,yes,unfurnished,3,1170.6666666666667
3.5,9.5,3,1,2,yes,no,0,no,no,3,yes,unfurnished,4,2375.0
3.5,5.88,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1960.0
3.5,12.944,3,1,1,yes,no,0,no,no,0,no,unfurnished,4,3236.0
3.493,4.9,3,1,2,no,no,0,no,no,0,no,unfurnished,4,1225.0
3.465,3.06,3,1,1,yes,no,0,no,no,0,no,unfurnished,4,765.0
3.465,5.32,2,1,1,yes,no,0,no,no,1,yes,unfurnished,3,1773.3333333333335
3.465,2.145,3,1,3,yes,no,0,no,no,0,yes,furnished,4,536.25
3.43,4.0,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1333.3333333333333
3.43,3.185,2,1,1,yes,no,0,no,no,2,no,unfurnished,3,1061.6666666666667
3.43,3.85,3,1,1,yes,no,0,no,no,0,no,unfurnished,4,962.5
3.43,2.145,3,1,3,yes,no,0,no,no,0,yes,furnished,4,536.25
3.43,2.61,3,1,2,yes,no,1,no,no,0,yes,unfurnished,5,522.0
3.43,1.95,3,2,2,yes,no,1,no,no,0,yes,unfurnished,6,325.0
3.423,4.04,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1346.6666666666667
3.395,4.785,3,1,2,yes,yes,1,no,yes,1,no,furnished,5,957.0000000000001
3.395,3.45,3,1,1,yes,no,1,no,no,2,no,unfurnished,5,690.0000000000001
3.395,3.64,2,1,1,yes,no,0,no,no,0,no,furnished,3,1213.3333333333335
3.36,3.5,4,1,2,yes,no,0,no,yes,2,no,unfurnished,5,700.0
3.36,4.96,4,1,3,no,no,0,no,no,0,no,semi-furnished,5,992.0
3.36,4.12,2,1,2,yes,no,0,no,no,0,no,unfurnished,3,1373.3333333333333
3.36,4.75,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1583.3333333333333
3.36,3.72,2,1,1,no,no,0,no,yes,0,no,unfurnished,3,1240.0
3.36,3.75,3,1,1,yes,no,0,no,no,0,no,unfurnished,4,937.5
3.36,3.1,3,1,2,no,no,1,no,no,0,no,semi-furnished,5,620.0
3.36,3.185,2,1,1,yes,no,1,no,no,2,no,furnished,4,796.25
3.353,2.7,3,1,1,no,no,0,no,no,0,no,furnished,4,675.0
3.332,2.145,3,1,2,yes,no,1,no,no,0,yes,furnished,5,429.0
3.325,4.04,2,1,1,yes,no,0,no,no,1,no,unfurnished,3,1346.6666666666667
3.325,4.775,4,1,2,yes,no,0,no,no,0,no,unfurnished,5,955.0000000000001
3.29,2.5,2,1,1,no,no,0,no,yes,0,no,unfurnished,3,833.3333333333334
3.29,3.18,4,1,2,yes,no,1,no,yes,0,no,unfurnished,6,530.0
3.29,6.06,3,1,1,yes,yes,1,no,no,0,no,furnished,5,1212.0
3.29,3.48,4,1,2,no,no,0,no,no,1,no,semi-furnished,5,696.0
3.29,3.792,4,1,2,yes,no,0,no,no,0,no,semi-furnished,5,758.4
3.29,4.04,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1346.6666666666667
3.29,2.145,3,1,2,yes,no,1,no,no,0,yes,furnished,5,429.0
3.29,5.88,3,1,1,yes,no,0,no,no,1,no,unfurnished,4,1470.0
3.255,4.5,2,1,1,no,no,0,no,no,0,no,semi-furnished,3,1500.0
3.255,3.93,2,1,1,no,no,0,no,no,0,no,unfurnished,3,1310.0
3.234,3.64,4,1,2,yes,no,1,no,no,0,no,unfurnished,6,606.6666666666667
3.22,4.37,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,1092.5
3.22,2.684,2,1,1,yes,no,0,no,yes,1,no,unfurnished,3,894.6666666666667
3.22,4.32,3,1,1,no,no,0,no,no,1,no,unfurnished,4,1080.0
3.22,3.12,3,1,2,no,no,0,no,no,0,no,furnished,4,780.0
3.15,3.45,1,1,1,yes,no,0,no,no,0,no,furnished,2,1725.0
3.15,3.986,2,2,1,no,yes,1,no,no,1,no,unfurnished,5,797.2
3.15,3.5,2,1,1,no,no,1,no,no,0,no,semi-furnished,4,875.0
3.15,4.095,2,1,1,yes,no,0,no,no,2,no,semi-furnished,3,1365.0
3.15,1.65,3,1,2,no,no,1,no,no,0,no,unfurnished,5,329.99999999999994
3.15,3.45,3,1,2,yes,no,1,no,no,0,no,semi-furnished,5,690.0000000000001
3.15,6.75,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,2250.0
3.15,9.0,3,1,2,yes,no,0,no,no,2,no,semi-furnished,4,2250.0
3.15,3.069,2,1,1,yes,no,0,no,no,1,no,unfurnished,3,1022.9999999999999
3.143,4.5,3,1,2,yes,no,0,no,yes,0,no,unfurnished,4,1125.0
3.129,5.495,3,1,1,yes,no,1,no,no,0,no,unfurnished,5,1099.0
3.11885,2.398,3,1,1,yes,no,0,no,no,0,yes,semi-furnished,4,599.5
3.115,3.0,3,1,1,no,no,0,no,yes,0,no,unfurnished,4,750.0
3.115,3.85,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,962.5
3.115,3.5,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1166.6666666666667
3.087,8.1,2,1,1,yes,no,0,no,no,1,no,unfurnished,3,2699.9999999999995
3.08,4.96,2,1,1,yes,no,1,no,yes,0,no,unfurnished,4,1240.0
3.08,2.16,3,1,2,no,no,1,no,no,0,no,semi-furnished,5,432.00000000000006
3.08,3.09,2,1,1,yes,yes,1,no,no,0,no,unfurnished,4,772.5
3.08,4.5,2,1,2,yes,no,0,yes,no,1,no,semi-furnished,3,1500.0
3.045,3.8,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1266.6666666666665
3.01,3.09,3,1,2,no,no,0,no,no,0,no,semi-furnished,4,772.5
3.01,3.24,3,1,2,yes,no,0,no,no,2,no,semi-furnished,4,810.0
3.01,2.835,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,945.0
3.01,4.6,2,1,1,yes,no,0,no,no,0,no,furnished,3,1533.3333333333333
3.01,5.076,3,1,1,no,no,0,no,no,0,no,unfurnished,4,1269.0
3.01,3.75,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,937.5
3.01,3.63,4,1,2,yes,no,0,no,no,3,no,semi-furnished,5,726.0
3.003,8.05,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,2683.3333333333335
2.975,4.352,4,1,2,no,no,0,no,no,1,no,unfurnished,5,870.4000000000001
2.961,3.0,2,1,2,yes,no,0,no,no,0,no,semi-furnished,3,1000.0
2.94,5.85,3,1,2,yes,no,1,no,no,1,no,unfurnished,5,1170.0
2.94,4.96,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1653.3333333333333
2.94,3.6,3,1,2,no,no,0,no,no,1,no,unfurnished,4,900.0
2.94,3.66,4,1,2,no,no,0,no,no,0,no,unfurnished,5,732.0
2.94,3.48,3,1,2,no,no,0,no,no,1,no,semi-furnished,4,870.0
2.94,2.7,2,1,1,no,no,0,no,no,0,no,furnished,3,900.0
2.94,3.15,3,1,2,no,no,0,no,no,0,no,unfurnished,4,787.5
2.94,6.615,3,1,2,yes,no,0,no,no,0,no,semi-furnished,4,1653.75
2.87,3.04,2,1,1,no,no,0,no,no,0,no,unfurnished,3,1013.3333333333334
2.87,3.63,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1210.0
2.87,6.0,2,1,1,yes,no,0,no,no,0,no,semi-furnished,3,2000.0
2.87,5.4,4,1,2,yes,no,0,no,no,0,no,unfurnished,5,1080.0
2.8525,5.2,4,1,3,yes,no,0,no,no,0,no,unfurnished,5,1040.0
2.835,3.3,3,1,2,no,no,0,no,no,1,no,semi-furnished,4,825.0
2.835,4.35,3,1,2,no,no,0,yes,no,1,no,unfurnished,4,1087.5
2.835,2.64,2,1,1,no,no,0,no,no,1,no,furnished,3,880.0
2.8,2.65,3,1,2,yes,no,1,no,no,1,no,unfurnished,5,530.0
2.8,3.96,3,1,1,yes,no,0,no,no,0,no,furnished,4,990.0
2.73,6.8,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,2266.6666666666665
2.73,4.0,3,1,2,yes,no,0,no,no,1,no,unfurnished,4,1000.0
2.695,4.0,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1333.3333333333333
2.66,3.934,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1311.3333333333335
2.66,2.0,2,1,2,yes,no,0,no,no,0,no,semi-furnished,3,666.6666666666666
2.66,3.63,3,3,2,no,yes,0,no,no,0,no,unfurnished,6,605.0
2.66,2.8,3,1,1,yes,no,0,no,no,0,no,unfurnished,4,700.0
2.66,2.43,3,1,1,no,no,0,no,no,0,no,unfurnished,4,607.5
2.66,3.48,2,1,1,yes,no,0,no,no,1,no,semi-furnished,3,1160.0
2.66,4.0,3,1,1,yes,no,0,no,no,0,no,semi-furnished,4,1000.0
2.653,3.185,2,1,1,yes,no,0,no,yes,0,no,unfurnished,3,1061.6666666666667
2.653,4.0,3,1,2,yes,no,0,no,yes,0,no,unfurnished,4,1000.0
2.604,2.91,2,1,1,no,no,0,no,no,0,no,unfurnished,3,970.0000000000001
2.59,3.6,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1200.0
2.59,4.4,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1466.6666666666667
2.59,3.6,2,2,2,yes,no,1,no,no,1,no,furnished,5,720.0
2.52,2.88,3,1,1,no,no,0,no,no,0,no,unfurnished,4,720.0
2.52,3.18,3,1,1,no,no,0,no,no,0,no,unfurnished,4,795.0
2.52,3.0,2,1,2,yes,no,0,no,no,0,no,furnished,3,1000.0
2.485,4.4,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,1100.0
2.485,3.0,3,1,2,no,no,0,no,no,0,no,semi-furnished,4,750.0
2.45,3.21,3,1,2,yes,no,1,no,no,0,no,unfurnished,5,642.0
2.45,3.24,2,1,1,no,yes,0,no,no,1,no,unfurnished,3,1080.0
2.45,3.0,2,1,1,yes,no,0,no,no,1,no,unfurnished,3,1000.0
2.45,3.5,2,1,1,yes,yes,0,no,no,0,no,unfurnished,3,1166.6666666666667
2.45,4.84,2,1,2,yes,no,0,no,no,0,no,unfurnished,3,1613.3333333333333
2.45,7.7,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,2566.666666666667
2.408,3.635,2,1,1,no,no,0,no,no,0,no,unfurnished,3,1211.6666666666667
2.38,2.475,3,1,2,yes,no,0,no,no,0,no,furnished,4,618.75
2.38,2.787,4,2,2,yes,no,0,no,no,0,no,furnished,6,464.49999999999994
2.38,3.264,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1087.9999999999998
2.345,3.64,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1213.3333333333335
2.31,3.18,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1060.0
2.275,1.836,2,1,1,no,no,1,no,no,0,no,semi-furnished,4,459.0
2.275,3.97,1,1,1,no,no,0,no,no,0,no,unfurnished,2,1985.0
2.275,3.97,3,1,2,yes,no,1,no,no,0,no,unfurnished,5,794.0
2.24,1.95,3,1,1,no,no,0,yes,no,0,no,unfurnished,4,487.5
2.233,5.3,3,1,1,no,no,0,no,yes,0,yes,unfurnished,4,1325.0
2.135,3.0,2,1,1,no,no,0,no,no,0,no,unfurnished,3,1000.0
2.1,2.4,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,600.0
2.1,3.0,4,1,2,yes,no,0,no,no,0,no,unfurnished,5,600.0
2.1,3.36,2,1,1,yes,no,0,no,no,1,no,unfurnished,3,1119.9999999999998
1.96,3.42,5,1,2,no,no,0,no,no,0,no,unfurnished,6,570.0
1.89,1.7,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,425.0
1.89,3.649,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1216.3333333333333
1.855,2.99,2,1,1,no,no,0,no,no,1,no,unfurnished,3,996.6666666666667
1.82,3.0,2,1,1,yes,no,1,no,no,2,no,unfurnished,4,750.0
1.76715,2.4,3,1,1,no,no,0,no,no,0,no,semi-furnished,4,600.0
1.75,3.62,2,1,1,yes,no,0,no,no,0,no,unfurnished,3,1206.6666666666667
1.75,2.91,3,1,1,no,no,0,no,no,0,no,furnished,4,727.5
1.75,3.85,3,1,2,yes,no,0,no,no,0,no,unfurnished,4,962.5
